Date,Diff
2020-02-25,1
2020-02-26,0
2020-02-27,2
2020-02-28,1
2020-02-29,6
2020-03-01,4
2020-03-02,3
2020-03-03,3
2020-03-04,3
2020-03-05,4
2020-03-06,12
2020-03-07,5
2020-03-08,10
2020-03-09,13
2020-03-10,2
2020-03-11,29
2020-03-12,9
2020-03-13,76
2020-03-14,5
2020-03-15,54
2020-03-16,163
2020-03-17,63
2020-03-18,179
2020-03-19,143
2020-03-20,143
2020-03-21,334
2020-03-22,192
2020-03-23,619
2020-03-24,702
2020-03-25,461
2020-03-26,787
2020-03-27,640
2020-03-28,893
2020-03-29,704
2020-03-30,1118
2020-03-31,1128
2020-04-01,1032
2020-04-02,1723
2020-04-03,1153
2020-04-04,539
2020-04-05,2778
2020-04-06,806
2020-04-07,1308
2020-04-08,1269
2020-04-09,1513
2020-04-10,1404
2020-04-11,1257
2020-04-12,983
2020-04-13,1381
2020-04-14,1355
2020-04-15,1174
2020-04-16,2600
2020-04-17,2005
2020-04-18,1541
2020-04-19,1277
2020-04-20,2023
2020-04-21,1744
